domain,metric,cohort,claimed,recomputed,match,note,part,classification,class_note
Table4,low any_need%,INSPIRE,1.24,1.24,OK,,2,verified_ok,""
Table4,low missed%,INSPIRE,0.3,0.3,OK,,2,verified_ok,""
Table4,low died%,INSPIRE,0.08,0.08,OK,,2,verified_ok,""
Table4,low NPV,INSPIRE,98.76,98.76,OK,,2,verified_ok,""
Table4,middle n,INSPIRE,21237,21237,OK,,2,verified_ok,""
Table4,middle pct,INSPIRE,22.1,22.1,OK,,2,verified_ok,""
Table4,middle any_need%,INSPIRE,13.76,13.76,OK,,2,verified_ok,""
Table4,middle missed%,INSPIRE,2.84,2.84,OK,,2,verified_ok,""
Table4,middle died%,INSPIRE,1.73,1.73,OK,,2,verified_ok,""
Table4,middle NPV,INSPIRE,86.24,86.24,OK,,2,verified_ok,""
Table4,high n,INSPIRE,3248,3248,OK,,2,verified_ok,""
Table4,high pct,INSPIRE,3.4,3.4,OK,,2,verified_ok,""
Table4,high any_need%,INSPIRE,38.12,38.12,OK,,2,verified_ok,""
Table4,high missed%,INSPIRE,7.97,7.97,OK,,2,verified_ok,""
Table4,high died%,INSPIRE,8.96,8.96,OK,,2,verified_ok,""
Table4,high NPV,INSPIRE,61.88,61.88,OK,,2,verified_ok,""
Table5,threshold %,INSPIRE,2,2,OK,,2,verified_ok,""
Table5,sensitivity %,INSPIRE,96.3,96.3,OK,,2,verified_ok,""
Table5,low coverage %,INSPIRE,57.8,57.8,OK,,2,verified_ok,""
Table5,low n,INSPIRE,55595,55595,OK,,2,verified_ok,""
Table5,low NPV %,INSPIRE,99.66,99.66,OK,,2,verified_ok,""
Table5,low deaths,INSPIRE,12,12,OK,,2,verified_ok,""
Table5,low mortality per1000,INSPIRE,0.22,0.22,OK,,2,verified_ok,""
Table5,missed esc captured %,INSPIRE,94.2,94.2,OK,,2,verified_ok,""
Table5,deaths captured %,INSPIRE,98.3,98.3,OK,,2,verified_ok,""
Table5,review band per1000,INSPIRE,388,388,OK,,2,verified_ok,""
Table5,high tier per1000,INSPIRE,34,34,OK,,2,verified_ok,""
Table5,total bed-days per1000,INSPIRE,220.7,220.7,OK,,2,verified_ok,""
Table5,reallocatable bed-days per1000,INSPIRE,3.1,3.1,OK,,2,verified_ok,""
Table5,reallocatable % of total,INSPIRE,1.4,1.4,OK,,2,verified_ok,""
Table5,review-band obs bed-days per1000,INSPIRE,57,57,OK,,2,verified_ok,""
Table5,review-band obs admissions per1000,INSPIRE,46.9,46.9,OK,,2,verified_ok,""
MidBand,% of cohort,INSPIRE,22.1,22.1,OK,,2,verified_ok,""
MidBand,admitted %,INSPIRE,28.9,28.9,OK,,2,verified_ok,""
MidBand,ICU-dep among admitted %,INSPIRE,37.8,37.8,OK,,2,verified_ok,""
MidBand,missed among not-admitted %,INSPIRE,4,4,OK,,2,verified_ok,""
MidBand,died among not-admitted %,INSPIRE,1.63,1.63,OK,,2,verified_ok,""
MidBand,in-band any-need AUROC,INSPIRE,0.599,0.599,OK,,2,verified_ok,""
MidBand,% cohort missed in band,INSPIRE,55.9,55.9,OK,,2,verified_ok,""
MidBand,% cohort deaths in band,INSPIRE,51.3,51.3,OK,,2,verified_ok,""
MidBand,missed in band n,INSPIRE,604,604,OK,,2,verified_ok,""
MidBand,deaths in band n,INSPIRE,367,367,OK,,2,verified_ok,""
MidBand,cohort deaths total,INSPIRE,715,715,OK,,2,verified_ok,""
SASAcomp,SASA low-tier coverage %,INSPIRE,20.2,20.2,OK,,2,verified_ok,""
SASAcomp,SASA low NPV %,INSPIRE,98.54,98.54,OK,,2,verified_ok,""
SASAcomp,model low-tier coverage % (subset),INSPIRE,44,44,OK,,2,verified_ok,""
SASAcomp,model low NPV % (subset),INSPIRE,99.51,99.51,OK,,2,verified_ok,""
Table4,low n,MOVER,15463,15463,OK,,2,verified_ok,""
Table4,low pct,MOVER,32,32,OK,,2,verified_ok,""
Table4,low any_need%,MOVER,1.93,1.93,OK,,2,verified_ok,""
Table4,low missed%,MOVER,0.01,0.01,OK,,2,verified_ok,""
Table4,low died%,MOVER,0.04,0.04,OK,,2,verified_ok,""
Table4,low NPV,MOVER,98.07,98.07,OK,,2,verified_ok,""
Table4,middle n,MOVER,28251,28251,OK,,2,verified_ok,""
Table4,middle pct,MOVER,58.4,58.4,OK,,2,verified_ok,""
Table4,middle any_need%,MOVER,13.75,13.75,OK,,2,verified_ok,""
Table4,middle missed%,MOVER,0.05,0.05,OK,,2,verified_ok,""
Table4,middle died%,MOVER,1.15,1.15,OK,,2,verified_ok,""
Table4,middle NPV,MOVER,86.25,86.25,OK,,2,verified_ok,""
Table4,high n,MOVER,4656,4656,OK,,2,verified_ok,""
Table4,high pct,MOVER,9.6,9.6,OK,,2,verified_ok,""
Table4,high any_need%,MOVER,37.26,37.26,OK,,2,verified_ok,""
Table4,high missed%,MOVER,0.47,0.47,OK,,2,verified_ok,""
Table4,high died%,MOVER,7.47,7.47,OK,,2,verified_ok,""
Table4,high NPV,MOVER,62.74,62.74,OK,,2,verified_ok,""
Table5,threshold %,MOVER,4.6,4.55,OK,,2,verified_ok,""
Table5,sensitivity %,MOVER,96,96,OK,,2,verified_ok,""
Table5,low coverage %,MOVER,28,28,OK,,2,verified_ok,""
Table5,low n,MOVER,13534,13534,OK,,2,verified_ok,""
Table5,low NPV %,MOVER,98.27,98.27,OK,,2,verified_ok,""
Table5,low deaths,MOVER,3,3,OK,,2,verified_ok,""
Table5,low mortality per1000,MOVER,0.22,0.22,OK,,2,verified_ok,""
Table5,missed esc captured %,MOVER,97.2,97.2,OK,,2,verified_ok,""
Table5,deaths captured %,MOVER,99.6,99.6,OK,,2,verified_ok,""
Table5,review band per1000,MOVER,624,624,OK,,2,verified_ok,""
Table5,high tier per1000,MOVER,96,96,OK,,2,verified_ok,""
Table5,review-band obs admissions per1000,MOVER,238.1,238.1,OK,,2,verified_ok,""
MidBand,% of cohort,MOVER,58.4,58.4,OK,,2,verified_ok,""
MidBand,admitted %,MOVER,53,53,OK,,2,verified_ok,""
MidBand,ICU-dep among admitted %,MOVER,25.9,25.9,OK,,2,verified_ok,""
MidBand,missed among not-admitted %,MOVER,0.1,0.1,OK,,2,verified_ok,""
MidBand,died among not-admitted %,MOVER,0.1,0.1,OK,,2,verified_ok,""
MidBand,in-band any-need AUROC,MOVER,0.671,0.671,OK,,2,verified_ok,""
SASAcomp,SASA low-tier coverage %,MOVER,10.9,10.9,OK,,2,verified_ok,""
SASAcomp,SASA low NPV %,MOVER,96.26,96.26,OK,,2,verified_ok,""
SASAcomp,model low-tier coverage % (subset),MOVER,27.7,27.7,OK,,2,verified_ok,""
SASAcomp,model low NPV % (subset),MOVER,98.42,98.42,OK,,2,verified_ok,""
SplitSample,Brier mean,INSPIRE,0.066,0.066,OK,"",3,verified_ok,""
SplitSample,Brier lo,INSPIRE,0.065,0.065,OK,"",3,verified_ok,""
SplitSample,Brier hi,INSPIRE,0.067,0.067,OK,"",3,verified_ok,""
SplitSample,slope mean,INSPIRE,0.999,1,OK,"",3,verified_ok,""
SplitSample,slope lo,INSPIRE,0.968,0.973,OK,"",3,verified_ok,""
SplitSample,slope hi,INSPIRE,1.03,1.027,OK,"",3,verified_ok,""
SplitSample,Brier mean,MOVER,0.183,0.183,OK,"",3,verified_ok,""
SplitSample,Brier lo,MOVER,0.181,0.181,OK,"",3,verified_ok,""
SplitSample,Brier hi,MOVER,0.185,0.185,OK,"",3,verified_ok,""
SplitSample,slope mean,MOVER,1.001,1.001,OK,"",3,verified_ok,""
SplitSample,slope lo,MOVER,0.962,0.96,OK,"",3,verified_ok,""
SplitSample,slope hi,MOVER,1.041,1.042,OK,"",3,verified_ok,""
DCA,net benefit @5% per1000,INSPIRE,32.1,32.1,OK,"",3,verified_ok,""
DCA,min net benefit 5-30% (positive?) ,INSPIRE,>0,3.9,MISMATCH,range 3.9..32.1,3,artifact_stringcompare,actual min 3.9/1000 > 0; claim 'positive across 5-30%' is TRUE
DCA,net benefit @5% per1000,MOVER,86.5,86.5,OK,"",3,verified_ok,""
DCA,min net benefit 5-30% (positive?) ,MOVER,>0,9.99,MISMATCH,range 10.0..86.5,3,artifact_stringcompare,actual min 10.0/1000 > 0; claim TRUE
Internal,XGB AUROC,VitalDB,0.932,0.932,OK,"",3,verified_ok,""
Internal,XGB AUPRC,VitalDB,0.799,0.799,OK,"",3,verified_ok,""
Internal,XGB Brier,VitalDB,0.078,0.078,OK,"",3,verified_ok,""
Internal,XGB intercept,VitalDB,0.119,0.119,OK,"",3,verified_ok,""
Internal,XGB slope,VitalDB,0.917,0.917,OK,"",3,verified_ok,""
Internal,LR_full AUROC,VitalDB,0.915,0.915,OK,"",3,verified_ok,""
Internal,LR_clinical AUROC,VitalDB,0.898,0.897,MISMATCH,"",3,artifact_rounding,true 0.89749; text/Table 2 both 0.898 (self-consistent)
Internal,SASA AUROC,VitalDB,0.717,0.716,MISMATCH,"",3,artifact_rounding,true 0.71643; text/Table 2 both 0.717 (self-consistent)
Internal,XGB_noArt AUROC,VitalDB,0.928,0.928,OK,"",3,verified_ok,""
Internal,DeLong p XGB vs LR_full,VitalDB,1.0e-5,1e-05,MISMATCH,"",3,artifact_format,1.0e-5 == 1.000e-05
Internal,DeLong p XGB vs LR_clinical,VitalDB,3.3e-9,3.3e-09,MISMATCH,"",3,artifact_format,3.3e-9 == 3.300e-09
Internal,DeLong p XGB vs SASA,VitalDB,3.0e-35,3e-35,OK,"",3,verified_ok,""
Internal,DeLong p XGB vs noArt,VitalDB,0.055,0.055,OK,"",3,verified_ok,""
GRU,seq-only AUROC,VitalDB,0.875,0.875,OK,"",3,verified_ok,""
GRU,seq+static AUROC,VitalDB,0.938,0.938,OK,"",3,verified_ok,""
GRU,AUROC diff (GRU_full - XGB),VitalDB,0.006,0.006,OK,"",3,verified_ok,""
GRU,DeLong p GRU_full vs XGB,VitalDB,0.267,0.267,OK,"",3,verified_ok,""
GRU,DeLong p GRU_seq vs XGB,VitalDB,1.5e-8,1.5e-08,MISMATCH,"",3,artifact_format,1.5e-8 == 1.500e-08
GRU,GRU_full Brier,VitalDB,0.072,0.072,OK,"",3,verified_ok,""
GRU,GRU_full slope,VitalDB,0.997,0.997,OK,"",3,verified_ok,""
GRU,GRU_full intercept,VitalDB,-0.240,-0.24,OK,"",3,verified_ok,""
GRU,max |GRU-XGB| NB per1000 (5-30%),VitalDB,6.5,6.5,OK,"",3,verified_ok,""
Table1,VitalDB n,VitalDB,5987,5987,OK,"",3,verified_ok,""
Table1,VitalDB events,VitalDB,1184,1184,OK,"",3,verified_ok,""
Table1,INSPIRE n,INSPIRE,96196,96196,OK,"",3,verified_ok,""
Table1,INSPIRE events,INSPIRE,10370,10370,OK,"",3,verified_ok,""
Table1,MOVER n,MOVER,48370,48370,OK,"",3,verified_ok,""
Table1,MOVER events,MOVER,21740,21740,OK,"",3,verified_ok,""
Table1,VitalDB event rate %,VitalDB,19.8,19.8,OK,"",3,verified_ok,""
Table1,INSPIRE event rate %,INSPIRE,10.8,10.8,OK,"",3,verified_ok,""
Table1,MOVER event rate %,MOVER,44.9,44.9,OK,"",3,verified_ok,""
Table1,MOVER arterial-line % (Table1 cell),MOVER,21.5,21.5,OK,TEXT says 21.4% - check consistency,3,verified_ok,""
Table1,VitalDB arterial-line % (Table1 cell),VitalDB,58.2,58.2,OK,"",3,verified_ok,""
Table1,VitalDB ASA rows sum (miss 1.9%),VitalDB,5987,5871,MISMATCH,sum=5871 (ASA missing ~1.9%),3,expected_missingness,"ASA rows sum to 5,871 because ASA missing ~1.9%; not an error"
Subgroup,INSPIRE AUROC min (thoracic),INSPIRE,0.79,0.789,OK,Thoracic surgery,4,verified_ok,""
Subgroup,INSPIRE AUROC max (gyn),INSPIRE,0.92,0.92,OK,Gynecology,4,verified_ok,""
Subgroup,MOVER AUROC min (ASA3+),MOVER,0.72,0.722,OK,ASA 3+,4,verified_ok,""
Subgroup,MOVER AUROC max (age<65),MOVER,0.8,0.803,OK,<65,4,verified_ok,""
Subgroup,ASA3+ AUROC,INSPIRE,0.791,0.791,OK,CI 0.779-0.804 vs text 0.779-0.804,4,verified_ok,""
Subgroup,ASA3+ CI lo,INSPIRE,0.779,0.779,OK,"",4,verified_ok,""
Subgroup,ASA3+ CI hi,INSPIRE,0.804,0.804,OK,"",4,verified_ok,""
Subgroup,ASA3+ AUROC,MOVER,0.722,0.722,OK,CI 0.714-0.729 vs text 0.714-0.729,4,verified_ok,""
Subgroup,ASA3+ CI lo,MOVER,0.714,0.714,OK,"",4,verified_ok,""
Subgroup,ASA3+ CI hi,MOVER,0.729,0.729,OK,"",4,verified_ok,""
Subgroup,MOVER gyn stratum excluded from b4,MOVER,absent,absent,OK,"text: 2,497 ops/16 events below precision criteria (16<20 consistent)",4,verified_ok,""
MOVERsub,dept AUROC range lo,MOVER,0.769,0.769,OK,Dept: Thoracic surgery,4,verified_ok,""
MOVERsub,dept AUROC range hi,MOVER,0.825,0.825,OK,Dept: Urology,4,verified_ok,""
MOVERsub,class AUROC range lo,MOVER,0.722,0.722,OK,Class: Hospital Outpatient Surgery,4,verified_ok,""
MOVERsub,class AUROC range hi,MOVER,0.787,0.787,OK,Class: Inpatient Admission,4,verified_ok,""
MOVERsub,arterial-line yes AUROC,MOVER,0.637,0.637,OK,"",4,verified_ok,""
MOVERsub,arterial-line yes event rate %,MOVER,84,84,OK,"",4,verified_ok,""
MOVERsub,arterial-line no AUROC,MOVER,0.728,0.728,OK,"",4,verified_ok,""
MOVERsub,year AUROC range lo,MOVER,0.78,0.78,OK,yr 2019,4,verified_ok,""
MOVERsub,year AUROC range hi,MOVER,0.807,0.807,OK,yr 2020,4,verified_ok,""
Fairness,age sens range lo,INSPIRE,95.5,95.5,OK,"",4,verified_ok,""
Fairness,age sens range hi,INSPIRE,98.4,98.4,OK,"",4,verified_ok,""
Fairness,sex sens range lo,INSPIRE,96,96,OK,"",4,verified_ok,""
Fairness,sex sens range hi,INSPIRE,96.5,96.5,OK,"",4,verified_ok,""
Fairness,min low-tier NPV > 97.7,INSPIRE,>97.7,99.56,OK,min=99.56,4,verified_ok,""
Fairness,low-cov age <65 %,INSPIRE,64.3,64.32,OK,"",4,verified_ok,""
Fairness,low-cov age >=80 %,INSPIRE,38.4,38.37,OK,"",4,verified_ok,""
Fairness,chi-square sens homogeneity (Age),INSPIRE,<0.001,0.000789,OK,recomputed from rounded sens,4,verified_ok,""
Fairness,chi-square sens homogeneity (Sex),INSPIRE,0.41,0.412,OK,recomputed from rounded sens,4,verified_ok,""
Fairness,age sens range lo,MOVER,95.4,95.4,OK,"",4,verified_ok,""
Fairness,age sens range hi,MOVER,99.4,99.4,OK,"",4,verified_ok,""
Fairness,sex sens range lo,MOVER,95.3,95.3,OK,"",4,verified_ok,""
Fairness,sex sens range hi,MOVER,96.4,96.4,OK,"",4,verified_ok,""
Fairness,min low-tier NPV > 97.7,MOVER,>97.7,97.73,OK,min=97.73,4,verified_ok,""
Fairness,low-cov age <65 %,MOVER,33.5,33.5,OK,"",4,verified_ok,""
Fairness,low-cov age >=80 %,MOVER,10.9,10.92,OK,"",4,verified_ok,""
Fairness,chi-square sens homogeneity (Age),MOVER,<0.001,6.75e-05,OK,recomputed from rounded sens,4,verified_ok,""
Fairness,chi-square sens homogeneity (Sex),MOVER,0.057,0.057,OK,recomputed from rounded sens,4,verified_ok,""
Fairness,cal intercept age <65,INSPIRE,0.3,0.299,OK,"",4,verified_ok,""
Fairness,cal intercept age >=80,INSPIRE,-0.55,-0.553,OK,"",4,verified_ok,""
Fairness,sex intercepts near zero (max |.|),INSPIRE,~0,0.005,OK,max|int|=0.005,4,verified_ok,""
Sens,exclude>=90% composite AUROC,MOVER,0.768,0.768,OK,"",4,verified_ok,""
Sens,exclude>=90% AUROC CI lo,MOVER,0.764,0.764,OK,"",4,verified_ok,""
Sens,exclude>=90% AUROC CI hi,MOVER,0.773,0.773,OK,"",4,verified_ok,""
Sens,exclude>=90% event rate %,MOVER,38.9,38.9,OK,"pre-dedup n=44,315; text n=43,376 post-dedup",4,verified_ok,""
Sens,exclude>=90% platt slope,MOVER,1.003,1.003,OK,"",4,verified_ok,""
Sens,exclude>=90% platt slope CI lo,MOVER,0.955,0.955,OK,"",4,verified_ok,""
Sens,exclude>=90% platt slope CI hi,MOVER,1.05,1.05,OK,"",4,verified_ok,""
Sens,exclude>=90% n (post-dedup),MOVER,43376,43376,OK,table_s_b5,4,verified_ok,""
Sens,exclude>=90% icu_dep AUROC,MOVER,0.794 (0.788-0.801),0.794 (0.788-0.801),OK,"",4,verified_ok,""
Sens,exclude>=90% any_need AUROC,MOVER,0.795 (0.789-0.802),0.795 (0.789-0.802),OK,"",4,verified_ok,""
Sens,exclude>=95% AUROC,MOVER,0.773,0.773,OK,"",4,verified_ok,""
Sens,exclude>=95% CI lo,MOVER,0.769,0.769,OK,"",4,verified_ok,""
Sens,exclude>=95% CI hi,MOVER,0.777,0.777,OK,"",4,verified_ok,""
Sens,ambulatory n,MOVER,16899,16899,OK,"",4,verified_ok,""
Sens,ambulatory event rate %,MOVER,6.2,6.2,OK,"",4,verified_ok,""
Sens,ambulatory AUROC,MOVER,0.722,0.722,OK,"",4,verified_ok,""
Sens,ambulatory CI lo,MOVER,0.706,0.706,OK,"",4,verified_ok,""
Sens,ambulatory CI hi,MOVER,0.738,0.738,OK,"",4,verified_ok,""
Sens,ambulatory SASA AUROC,MOVER,0.557,0.557,OK,"",4,verified_ok,""
Sens,ambulatory SASA CI lo,MOVER,0.535,0.535,OK,"",4,verified_ok,""
Sens,ambulatory SASA CI hi,MOVER,0.579,0.579,OK,"",4,verified_ok,""
Sens,ambulatory intercept,MOVER,0.12,0.12,OK,"",4,verified_ok,""
Sens,interv 48h dep_vs_obs,INSPIRE,0.507 (0.495-0.519),0.507 (0.495-0.519),OK,"",4,verified_ok,""
Sens,interv NE-only dep_vs_obs,INSPIRE,0.493 (0.481-0.505),0.493 (0.481-0.505),OK,"",4,verified_ok,""
Sens,interv vent-only dep_vs_obs,INSPIRE,0.489 (0.477-0.501),0.489 (0.477-0.501),OK,"",4,verified_ok,""
Sens,MOVER intervention+PCS dep_vs_obs,MOVER,0.644 (0.637-0.652),0.644 (0.637-0.652),OK,"",4,verified_ok,""
Sens,P10-P90 INSPIRE admitted %,INSPIRE,6.5,6.5,OK,"",4,verified_ok,""
Sens,P10-P90 INSPIRE dep %,INSPIRE,41.6,41.6,OK,"",4,verified_ok,""
Sens,P10-P90 INSPIRE missed %,INSPIRE,0.75,0.75,OK,"",4,verified_ok,""
Sens,P10-P90 MOVER admitted %,MOVER,43.7,43.7,OK,"",4,verified_ok,""
Sens,P10-P90 MOVER dep %,MOVER,24.2,24.2,OK,"",4,verified_ok,""
Sens,P10-P90 MOVER missed %,MOVER,0.06,0.06,OK,"",4,verified_ok,""
Sens,"routine-ICU procedures excluded (>=90%, >=20 cases)",MOVER,62,62,OK,cols: PRIMARY_PROCEDURE_NM|n|icu_rate,4,verified_ok,""
Sens,ops removed arithmetic (48370-43376),MOVER,4994,4994,OK,"",4,verified_ok,""
Overlap,with-overlap AUROC,INSPIRE,0.908 (+0.001),0.9084 (+0.0011),OK,rounds to text,4,verified_ok,""
Overlap,conservative AUROC,INSPIRE,0.912 (0.910-0.915),0.9121 (0.9095-0.9147),OK,rounds to text,4,verified_ok,""
Overlap,worst-case bound,INSPIRE,+0.0006 (to 0.9079),0.9079 (+0.0006 vs primary),OK,table_s_inspire_overlap_sensitivity_v4,4,verified_ok,""
Overlap,linker exclusions,INSPIRE,2437,2437,OK,"2.5%; conservative 17,686 (Methods, consistent)",4,verified_ok,""
Overlap,INSPIRE pre-exclusion n arithmetic,INSPIRE,98633,98633,OK,"",4,verified_ok,""
SASA,evaluable % INSPIRE,INSPIRE,59.7,59.7,OK,"57,445 / 96,196 (59.7%)",4,verified_ok,""
SASA,EBL missing % INSPIRE,INSPIRE,40.3,40.3,OK,"",4,verified_ok,""
SASA,EBL missing % MOVER,MOVER,38.8,38.8,OK,"",4,verified_ok,""
SASA,composite rate evaluable vs missing,INSPIRE,15.6% vs 3.7%,15.59% vs 3.65%,OK,15.59->15.6; 3.65->3.7 (round-half-up vs text),4,verified_ok,""
SASA,SASA low tier coverage % (evaluable),INSPIRE,48.1,48.1,OK,"n=27,623 (48.1% of evaluable); any-need 2.54%; died 0.15%; NPV 97.46%",4,verified_ok,""
SASA,SASA low tier any-need %,INSPIRE,2.54,2.54,OK,table_s11,4,verified_ok,""
SASA,model low tier coverage % (evaluable),INSPIRE,64.5,64.5,OK,"n=37,038 (64.5% of evaluable); any-need 1.76%; died 0.07%; NPV 98.24%",4,verified_ok,""
SASA,model low tier any-need %,INSPIRE,1.76,1.76,OK,table_s11,4,verified_ok,""
Arith,MOVER rows post-dedup,MOVER,48370,48370,OK,"",4,verified_ok,""
Arith,flowsheet-usable % MOVER,MOVER,95,95,OK,"",4,verified_ok,""
Arith,flowsheet-missing n MOVER,MOVER,2418,2418,OK,"",4,verified_ok,""
Arith,VitalDB events+non-events,VitalDB,5987,5987,OK,"",4,verified_ok,""
